trip_id,rider_id,zone,distance_km,duration_min,fare_amount,payment_mode,ride_date,surge_flag,name,age,gender,city,signup_date,total_rides,cancelled_rides,avg_rating,population_density,traffic_index,avg_speed_kmph,zone_type
T00001,R0037,Zone_10,11.83,74.59,104.88,Cash,2023-11-13,0,Aadhya Iyer,32,Other,Ahmedabad,2020-11-21,489,6,3.36,2440,1.54,35.4,Industrial
T00002,R0104,Zone_9,3.86,35.59,40.48,Cash,2023-07-28,1,Diya Gupta,52,Male,Kolkata,2021-05-27,328,1,3.7,11037,1.83,56.1,Mixed
T00003,R0045,Zone_8,4.7,31.03,46.39,Cash,2024-01-14,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,4516,1.93,31.0,Business
T00004,R0089,Zone_2,11.06,59.48,257.64,Cash,2023-12-13,0,Saanvi Reddy,48,Other,Surat,2022-09-21,308,6,3.91,6371,0.91,58.4,Residential
T00005,R0003,Zone_5,7.28,67.59,72.74,UPI,2023-03-15,1,Kavya Reddy,34,Male,Pune,2023-05-04,45,9,3.76,2590,1.31,43.9,Business
T00006,R0255,Zone_2,14.58,80.74,282.52,UPI,2024-02-10,1,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,6371,0.91,58.4,Residential
T00007,R0224,Zone_4,4.48,40.07,58.38,Credit Card,2023-08-21,1,Ishaan Sharma,29,Female,Ahmedabad,2020-08-04,200,1,4.31,4038,2.46,48.2,Business
T00008,R0039,Zone_3,11.75,96.11,102.35,Wallet,2024-03-10,0,Aadhya Iyer,24,Male,Chennai,2023-11-18,190,14,4.2,12971,2.11,38.0,Business
T00009,R0223,Zone_5,9.71,66.61,175.75,Credit Card,2024-05-20,0,Meera Ghosh,30,Female,Surat,2019-11-29,158,10,4.04,2590,1.31,43.9,Business
T00010,R0236,Zone_5,7.37,51.09,98.34,UPI,2023-03-01,1,Arjun Gupta,28,Male,Ahmedabad,2020-08-10,61,1,3.36,2590,1.31,43.9,Business
T00011,R0191,Zone_10,13.88,88.3,172.04,Credit Card,2023-09-09,0,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,2440,1.54,35.4,Industrial
T00012,R0199,Zone_1,11.4,64.9,139.35,Wallet,2023-12-15,0,Aarav Das,29,Male,Ahmedabad,2021-08-03,344,27,3.91,4921,2.43,30.9,Residential
T00013,R0248,Zone_6,2.98,18.82,37.95,Wallet,2023-12-12,1,Vivaan Ghosh,18,Female,Chennai,2021-10-24,104,12,3.65,14627,0.54,37.6,Mixed
T00014,R0300,Zone_2,11.2,70.93,249.44,Cash,2024-08-10,0,Saanvi Iyer,38,Female,Kolkata,2023-07-08,291,7,3.67,6371,0.91,58.4,Residential
T00015,R0270,Zone_10,14.87,91.83,265.53,Credit Card,2023-08-24,0,Aadhya Reddy,35,Male,Hyderabad,2022-01-02,455,64,3.08,2440,1.54,35.4,Industrial
T00016,R0216,Zone_2,7.35,63.51,145.73,Cash,2024-08-04,1,Ishaan Ghosh,44,Female,Chennai,2019-08-01,335,24,3.4,6371,0.91,58.4,Residential
T00017,R0168,Zone_3,6.76,56.32,83.57,Cash,2023-12-03,1,Diya Das,23,Male,Pune,2019-10-08,471,74,4.03,12971,2.11,38.0,Business
T00018,R0126,Zone_6,4.65,39.61,69.81,UPI,2024-01-19,0,Diya Reddy,29,Female,Surat,2022-09-25,411,20,3.65,14627,0.54,37.6,Mixed
T00019,R0255,Zone_1,7.93,62.56,100.85,Credit Card,2023-05-26,1,Reyansh Sharma,37,Female,Bengaluru,2021-07-06,475,42,3.12,4921,2.43,30.9,Residential
T00020,R0061,Zone_2,11.43,81.48,227.77,UPI,2023-06-19,0,Meera Reddy,25,Male,Mumbai,2020-08-20,168,25,3.69,6371,0.91,58.4,Residential
T00021,R0289,Zone_4,3.91,32.07,79.0,Cash,2024-08-15,0,Aarav Gupta,21,Other,Chennai,2021-09-30,322,14,4.17,4038,2.46,48.2,Business
T00022,R0112,Zone_10,1.27,9.05,17.63,Credit Card,2024-03-28,0,Meera Nair,41,Female,Delhi,2020-11-13,311,11,3.24,2440,1.54,35.4,Industrial
T00023,R0153,Zone_3,6.12,47.77,118.69,UPI,2024-02-26,0,Aadhya Ghosh,20,Male,Mumbai,2020-05-04,76,14,4.54,12971,2.11,38.0,Business
T00024,R0214,Zone_3,1.1,10.71,13.4,Cash,2023-01-10,1,Aarav Kumar,20,Female,Kolkata,2022-09-14,210,2,4.53,12971,2.11,38.0,Business
T00025,R0272,Zone_2,10.62,56.33,170.34,UPI,2023-01-15,0,Kavya Ghosh,21,Male,Kolkata,2020-01-15,432,4,4.79,6371,0.91,58.4,Residential
T00026,R0045,Zone_3,5.87,48.76,86.71,Credit Card,2024-02-14,1,Saanvi Iyer,34,Other,Ahmedabad,2023-07-12,100,16,4.88,12971,2.11,38.0,Business
T00027,R0096,Zone_9,0.78,5.31,10.51,UPI,2023-01-12,0,Reyansh Das,40,Female,Kolkata,2019-12-28,121,3,4.46,11037,1.83,56.1,Mixed
T00028,R0191,Zone_1,6.26,58.43,134.46,UPI,2023-05-14,0,Meera Gupta,33,Other,Surat,2020-08-14,87,6,4.56,4921,2.43,30.9,Residential
T00029,R0197,Zone_6,7.04,42.69,72.84,Credit Card,2024-06-13,1,Saanvi Das,29,Female,Bengaluru,2020-10-08,475,87,3.87,14627,0.54,37.6,Mixed
T00030,R0284,Zone_1,10.25,88.43,216.17,Cash,2024-03-15,0,Vivaan Das,28,Female,Surat,2019-07-31,135,19,4.95,4921,2.43,30.9,Residential
T00031,R0251,Zone_1,7.27,44.39,170.59,Credit Card,2023-04-08,1,Vivaan Iyer,46,Female,Mumbai,2020-01-13,213,26,4.48,4921,2.43,30.9,Residential
T00032,R0228,Zone_5,17.34,154.38,192.42,UPI,2023-11-30,1,Kavya Ghosh,21,Female,Pune,2020-05-18,10,0,4.84,2590,1.31,43.9,Business
